size,model,embedding,tissue,seed,shuffled,rmse,r2,pcc,pcc_p
small,mlp,enformer,CD4,17,no,5.124,1.883,0.034,0.444
small,cnn,enformer,CD4,17,no,3.476,0.327,0.049,0.271
small,rnn,enformer,CD4,17,no,3.932,0.698,0.053,0.232
small,mlp,enformer,CD4,510,no,4.311,1.042,0.161,0
small,cnn,enformer,CD4,510,no,3.293,0.191,0.086,0.055
small,rnn,enformer,CD4,510,no,3.998,0.755,0.134,0.003
small,mlp,enformer,CD4,1030,no,6.967,4.332,0.005,0.913
small,cnn,enformer,CD4,1030,no,3.757,0.551,0.177,6.231
small,rnn,enformer,CD4,1030,no,5.815,2.715,0.139,0.002
small,mlp,enformer,mono,17,no,16.25,0.958,0.074,0.073
small,cnn,enformer,mono,17,no,12.723,0.2,0.085,0.04
small,rnn,enformer,mono,17,no,14.939,0.655,0.276,1.404
small,mlp,enformer,mono,510,no,13.923,0.437,0.086,0.038
small,cnn,enformer,mono,510,no,12.38,0.137,0.061,0.142
small,rnn,enformer,mono,510,no,13.875,0.427,0.071,0.087
small,mlp,enformer,mono,1030,no,14.013,0.456,0.132,0.001
small,cnn,enformer,mono,1030,no,13.996,0.452,0.003,0.934
small,rnn,enformer,mono,1030,no,16.628,1.05,0.2,1.231
small,mlp,enformer,CD4,17,yes,3.277,0.077,0.535,9.904
small,cnn,enformer,CD4,17,yes,2.084,0.565,0.763,8.393
small,rnn,enformer,CD4,17,yes,2.412,0.416,0.677,1.54
small,mlp,enformer,CD4,510,yes,2.544,0.358,0.661,3.831
small,cnn,enformer,CD4,510,yes,2.118,0.555,0.748,2.885
small,rnn,enformer,CD4,510,yes,2.877,0.179,0.544,6.602
small,mlp,enformer,CD4,1030,yes,4.01,0.667,0.453,1.87
small,cnn,enformer,CD4,1030,yes,2.192,0.502,0.717,6.92
small,rnn,enformer,CD4,1030,yes,2.682,0.254,0.596,1.742
small,mlp,enformer,mono,17,yes,6.374,0.692,0.834,5.96
small,cnn,enformer,mono,17,yes,7.187,0.608,0.785,9.48
small,rnn,enformer,mono,17,yes,7.156,0.612,0.791,1.685
small,mlp,enformer,mono,510,yes,8.428,0.472,0.723,2.966
small,cnn,enformer,mono,510,yes,7.109,0.624,0.796,7.206
small,rnn,enformer,mono,510,yes,9.064,0.389,0.662,1.646
small,mlp,enformer,mono,1030,yes,5.988,0.742,0.862,1.284
small,cnn,enformer,mono,1030,yes,5.895,0.75,0.866,2.922
small,rnn,enformer,mono,1030,yes,7.601,0.584,0.771,6.574
